year,district,crime_type,crime_count
2023,Colombo (N),Narcotic Drugs,438
2023,Colombo (N),Obstructing Police,1
2023,Colombo (N),Offences Against The State,0
2023,Colombo (N),Offensive Weapons Act,12
2023,Colombo (N),Property Theft > 50k,79
2023,Colombo (N),Rape (Adult),0
2023,Colombo (N),Robbery,29
2023,Colombo (N),Sexual Exploitation Of Children,0
2023,Colombo (N),Statutory Rape (Consensual),10
2023,Colombo (N),Statutory Rape (Non-consensual),0
2023,Colombo (N),Unlawful Assembly/ Riot,0
2023,Colombo (S),Abduction,6
2023,Colombo (S),Agriculture Theft > 50k,0
2023,Colombo (S),Arson,1
2023,Colombo (S),Attempt to Murder,3
2023,Colombo (S),Cattle Theft > 50k,0
2023,Colombo (S),Cheating / Breach of Trust > 300k,30
2023,Colombo (S),Counterfeiting Currency,1
2023,Colombo (S),Cruelty to Children,0
2023,Colombo (S),Extortions,3
2023,Colombo (S),Grave Sexual Abuse,2
2023,Colombo (S),Grievous Hurt,8
2023,Colombo (S),House Breaking,202
2023,Colombo (S),Human Trafficking,0
2023,Colombo (S),Hurt by Dangerous Weapons,32
2023,Colombo (S),Illegal Firearms,1
2023,Colombo (S),Kidnapping,3
2023,Colombo (S),Mischief > 50k,2
2023,Colombo (S),Murder,6
2023,Colombo (S),Narcotic Drugs,301
2023,Colombo (S),Obstructing Police,4
2023,Colombo (S),Offences Against The State,0
2023,Colombo (S),Offensive Weapons Act,6
2023,Colombo (S),Property Theft > 50k,147
2023,Colombo (S),Rape (Adult),2
2023,Colombo (S),Robbery,58
2023,Colombo (S),Sexual Exploitation Of Children,0
2023,Colombo (S),Statutory Rape (Consensual),3
2023,Colombo (S),Statutory Rape (Non-consensual),0
2023,Colombo (S),Unlawful Assembly/ Riot,3
2023,Colombo ©,Abduction,0
2023,Colombo ©,Agriculture Theft > 50k,0
2023,Colombo ©,Arson,1
2023,Colombo ©,Attempt to Murder,1
2023,Colombo ©,Cattle Theft > 50k,0
2023,Colombo ©,Cheating / Breach of Trust > 300k,18
2023,Colombo ©,Counterfeiting Currency,3
2023,Colombo ©,Cruelty to Children,1
2023,Colombo ©,Extortions,1
2023,Colombo ©,Grave Sexual Abuse,3
2023,Colombo ©,Grievous Hurt,7
2023,Colombo ©,House Breaking,71
2023,Colombo ©,Human Trafficking,0
2023,Colombo ©,Hurt by Dangerous Weapons,38
2023,Colombo ©,Illegal Firearms,0
2023,Colombo ©,Kidnapping,6
2023,Colombo ©,Mischief > 50k,3
2023,Colombo ©,Murder,6
2023,Colombo ©,Narcotic Drugs,201
2023,Colombo ©,Obstructing Police,5
2023,Colombo ©,Offences Against The State,0
2023,Colombo ©,Offensive Weapons Act,3
2023,Colombo ©,Property Theft > 50k,119
2023,Colombo ©,Rape (Adult),3
2023,Colombo ©,Robbery,31
2023,Colombo ©,Sexual Exploitation Of Children,1
2023,Colombo ©,Statutory Rape (Consensual),4
2023,Colombo ©,Statutory Rape (Non-consensual),0
2023,Colombo ©,Unlawful Assembly/ Riot,3
2023,Elpitiya,Abduction,11
2023,Elpitiya,Agriculture Theft > 50k,6
2023,Elpitiya,Arson,11
2023,Elpitiya,Attempt to Murder,9
2023,Elpitiya,Cattle Theft > 50k,43
2023,Elpitiya,Cheating / Breach of Trust > 300k,23
2023,Elpitiya,Counterfeiting Currency,1
2023,Elpitiya,Cruelty to Children,2
2023,Elpitiya,Extortions,7
2023,Elpitiya,Grave Sexual Abuse,15
2023,Elpitiya,Grievous Hurt,53
2023,Elpitiya,House Breaking,538
2023,Elpitiya,Human Trafficking,0
2023,Elpitiya,Hurt by Dangerous Weapons,81
2023,Elpitiya,Illegal Firearms,2
2023,Elpitiya,Kidnapping,4
2023,Elpitiya,Mischief > 50k,9
2023,Elpitiya,Murder,21
2023,Elpitiya,Narcotic Drugs,179
2023,Elpitiya,Obstructing Police,9
2023,Elpitiya,Offences Against The State,0
2023,Elpitiya,Offensive Weapons Act,1
2023,Elpitiya,Property Theft > 50k,243
2023,Elpitiya,Rape (Adult),5
2023,Elpitiya,Robbery,153
2023,Elpitiya,Sexual Exploitation Of Children,0
2023,Elpitiya,Statutory Rape (Consensual),40
2023,Elpitiya,Statutory Rape (Non-consensual),11
2023,Elpitiya,Unlawful Assembly/ Riot,0
2023,Fraud Bureau,Abduction,0
2023,Fraud Bureau,Agriculture Theft > 50k,0
2023,Fraud Bureau,Arson,0
2023,Fraud Bureau,Attempt to Murder,0
2023,Fraud Bureau,Cattle Theft > 50k,0
2023,Fraud Bureau,Cheating / Breach of Trust > 300k,425
2023,Fraud Bureau,Counterfeiting Currency,0
2023,Fraud Bureau,Cruelty to Children,0
2023,Fraud Bureau,Extortions,0
2023,Fraud Bureau,Grave Sexual Abuse,0
2023,Fraud Bureau,Grievous Hurt,0
2023,Fraud Bureau,House Breaking,0
2023,Fraud Bureau,Human Trafficking,0
2023,Fraud Bureau,Hurt by Dangerous Weapons,0
2023,Fraud Bureau,Illegal Firearms,0
2023,Fraud Bureau,Kidnapping,0
2023,Fraud Bureau,Mischief > 50k,0
2023,Fraud Bureau,Murder,0
2023,Fraud Bureau,Narcotic Drugs,0
2023,Fraud Bureau,Obstructing Police,0
2023,Fraud Bureau,Offences Against The State,0
2023,Fraud Bureau,Offensive Weapons Act,0
2023,Fraud Bureau,Property Theft > 50k,0
2023,Fraud Bureau,Rape (Adult),0
2023,Fraud Bureau,Robbery,0
2023,Fraud Bureau,Sexual Exploitation Of Children,0
2023,Fraud Bureau,Statutory Rape (Consensual),0
2023,Fraud Bureau,Statutory Rape (Non-consensual),0
2023,Fraud Bureau,Unlawful Assembly/ Riot,0
2023,Galle,Abduction,13
2023,Galle,Agriculture Theft > 50k,1
2023,Galle,Arson,12
2023,Galle,Attempt to Murder,1
2023,Galle,Cattle Theft > 50k,64
2023,Galle,Cheating / Breach of Trust > 300k,42
2023,Galle,Counterfeiting Currency,1
2023,Galle,Cruelty to Children,1
2023,Galle,Extortions,9
