year,month,district,crime_type,crime_count
2022,3,Whole Island,Grievous Hurt,83
2022,4,Whole Island,Grievous Hurt,65
2022,5,Whole Island,Grievous Hurt,88
2022,6,Whole Island,Grievous Hurt,99
2022,7,Whole Island,Grievous Hurt,77
2022,8,Whole Island,Grievous Hurt,70
2022,9,Whole Island,Grievous Hurt,74
2022,10,Whole Island,Grievous Hurt,71
2022,11,Whole Island,Grievous Hurt,73
2022,12,Whole Island,Grievous Hurt,94
2022,1,Whole Island,House Breaking,559
2022,2,Whole Island,House Breaking,634
2022,3,Whole Island,House Breaking,646
2022,4,Whole Island,House Breaking,785
2022,5,Whole Island,House Breaking,737
2022,6,Whole Island,House Breaking,766
2022,7,Whole Island,House Breaking,837
2022,8,Whole Island,House Breaking,629
2022,9,Whole Island,House Breaking,710
2022,10,Whole Island,House Breaking,772
2022,11,Whole Island,House Breaking,684
2022,12,Whole Island,House Breaking,886
2022,1,Whole Island,Human Trafficking,0
2022,2,Whole Island,Human Trafficking,1
2022,3,Whole Island,Human Trafficking,1
2022,4,Whole Island,Human Trafficking,0
2022,5,Whole Island,Human Trafficking,1
2022,6,Whole Island,Human Trafficking,1
2022,7,Whole Island,Human Trafficking,1
2022,8,Whole Island,Human Trafficking,1
2022,9,Whole Island,Human Trafficking,1
2022,10,Whole Island,Human Trafficking,1
2022,11,Whole Island,Human Trafficking,1
2022,12,Whole Island,Human Trafficking,1
2022,1,Whole Island,Illegal Firearms,2
2022,2,Whole Island,Illegal Firearms,1
2022,3,Whole Island,Illegal Firearms,1
2022,4,Whole Island,Illegal Firearms,3
2022,5,Whole Island,Illegal Firearms,2
2022,6,Whole Island,Illegal Firearms,3
2022,7,Whole Island,Illegal Firearms,3
2022,8,Whole Island,Illegal Firearms,1
2022,9,Whole Island,Illegal Firearms,3
2022,10,Whole Island,Illegal Firearms,2
2022,11,Whole Island,Illegal Firearms,3
2022,12,Whole Island,Illegal Firearms,3
2022,1,Whole Island,Kidnapping,11
2022,2,Whole Island,Kidnapping,11
2022,3,Whole Island,Kidnapping,12
2022,4,Whole Island,Kidnapping,12
2022,5,Whole Island,Kidnapping,16
2022,6,Whole Island,Kidnapping,16
2022,7,Whole Island,Kidnapping,16
2022,8,Whole Island,Kidnapping,15
2022,9,Whole Island,Kidnapping,13
2022,10,Whole Island,Kidnapping,16
2022,11,Whole Island,Kidnapping,15
2022,12,Whole Island,Kidnapping,21
2022,1,Whole Island,Mischief > 50k,39
